i,j,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
-19,-14,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-17,-15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-13,-18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-11,-18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-8,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-5,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-3,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
6,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
8,-19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
10,-18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
16,-12,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
17,-11,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
17,-10,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
17,-9,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
18,-8,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,5,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
18,7,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
17,8,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
17,10,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
15,13,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
24,26,0,0,0,0,0,0,0,0,0,2,-1000,0,0,0,0,0,0,0,0,0,0
13,16,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
12,16,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
11,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
10,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
8,19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
7,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
6,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
4,21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-2,22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-6,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-7,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-8,20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-11,19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-12,18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-13,17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-16,14,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-26,19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-19,13,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-19,12,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-21,-15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-20,-15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-18,-15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-18,-16,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-16,-17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-14,-18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-13,-19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-12,-19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-11,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-10,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-9,-22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-3,-22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
-1,-22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
0,-22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
3,-22,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
6,-21,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
7,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
8,-20,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
10,-19,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
11,-18,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
12,-17,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
14,-15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
16,-13,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
18,-10,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
18,-9,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,-8,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,-7,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,-4,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,-3,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,-2,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,-1,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,2,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
20,3,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
16,12,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
14,15,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
19,24,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,0,0,0
